coke, 2
date,close,volume,open,high,low
2017/08/18,204.6700,29361.0000,206.2200,208.1100,201.5400
2017/08/17,208.2200,36975.0000,213.3400,215.7684,206.1600
2017/08/16,213.3600,27889.0000,212.2000,213.6196,212.2000
2017/08/15,212.2000,28797.0000,211.4900,212.5400,208.5500
2017/08/14,210.5400,36729.0000,210.7900,211.7309,209.0101
2017/08/11,208.8100,31797.0000,211.0800,212.7226,208.8000
2017/08/10,210.9700,62459.0000,208.0100,212.1388,208.0100
2017/08/09,206.8350,148345.0000,241.9400,241.9400,200.1000
2017/08/08,242.4500,28842.0000,242.1800,244.8000,240.3000
2017/08/07,242.5200,15705.0000,239.1000,242.9650,239.1000
2017/08/04,238.8000,13284.0000,239.9200,240.1300,237.0001
2017/08/03,238.4000,17245.0000,241.6046,241.6046,237.5000
2017/08/02,238.5000,21485.0000,240.0500,240.9700,236.3700
2017/08/01,240.0800,22477.0000,241.9200,242.3300,239.8200
2017/07/31,240.0900,23780.0000,241.5700,244.5376,239.1900
2017/07/28,240.5400,21181.0000,243.6100,245.5000,239.5600
2017/07/27,244.0400,36518.0000,242.5300,249.5400,242.5300
2017/07/26,241.8700,22339.0000,239.3900,242.1900,238.6701
2017/07/25,238.0900,15486.0000,239.4800,239.7000,237.0000
2017/07/24,238.3300,33760.0000,241.8600,241.8600,237.5000
2017/07/21,240.8600,29687.0000,243.2200,244.6717,239.8500
2017/07/20,241.8000,36319.0000,238.0300,242.7300,236.4200
2017/07/19,236.4000,37567.0000,234.1500,238.8300,234.1500
2017/07/18,234.1500,40966.0000,236.6500,238.9500,234.1200
2017/07/17,236.8200,51282.0000,235.0000,239.5000,232.5200
2017/07/14,235.5500,34023.0000,229.4800,236.0000,229.4800
2017/07/13,229.8400,28917.0000,232.2100,232.2100,225.7600
2017/07/12,232.3100,32785.0000,228.6800,232.3100,228.5000
2017/07/11,227.4900,43828.0000,225.9600,229.7700,225.9600
2017/07/10,226.5600,49132.0000,228.9700,229.4800,225.2200
2017/07/07,226.9600,23892.0000,225.5500,229.6972,225.1157
2017/07/06,224.5400,25146.0000,222.7800,226.1400,220.8100
2017/07/05,224.8800,29442.0000,224.2600,225.3300,221.4500
2017/07/03,224.2600,12488.0000,229.0800,229.9600,223.5100
2017/06/30,228.8700,19191.0000,232.0100,234.5400,228.4400
2017/06/29,230.7500,18305.0000,233.5200,234.2100,229.8800
2017/06/28,233.1100,26067.0000,228.0700,234.9300,228.0700
2017/06/27,227.3700,31058.0000,232.7300,232.8600,227.3700
2017/06/26,233.8200,39583.0000,235.7900,237.5800,232.6100
2017/06/23,235.6600,33482.0000,233.1300,235.7300,231.6400
2017/06/22,233.0500,19801.0000,234.8300,235.0900,233.0400
2017/06/21,234.7900,19189.0000,234.9500,236.5000,232.6070
2017/06/20,235.3800,31794.0000,235.6700,235.7600,232.8500
2017/06/19,235.8900,22184.0000,234.7000,237.8477,234.7000
2017/06/16,234.1600,59803.0000,237.1600,237.2600,231.2800
2017/06/15,238.8700,37747.0000,233.9800,240.4500,231.5100
2017/06/14,236.2200,25917.0000,232.0000,236.5200,231.7400
2017/06/13,231.6900,40011.0000,229.5700,231.6900,227.9400
2017/06/12,228.6400,26697.0000,226.5200,229.8948,224.0000
2017/06/09,227.0600,28636.0000,229.1100,232.3800,225.0000
2017/06/08,228.8500,30774.0000,230.2200,231.1000,226.0300
2017/06/07,230.1100,30119.0000,226.6600,230.4200,225.2500
2017/06/06,226.4100,44004.0000,225.9900,229.5600,224.0250
2017/06/05,225.9100,52995.0000,232.9400,232.9400,225.9100
2017/06/02,231.7500,47680.0000,232.7800,235.7800,231.2200
2017/06/01,231.2100,57504.0000,228.4800,231.4600,225.2800
2017/05/31,227.7400,84155.0000,228.2000,228.2000,225.1400
2017/05/30,227.4100,67560.0000,226.0200,228.5000,223.5500
2017/05/26,225.6700,46405.0000,224.4000,228.7000,222.2045
2017/05/25,223.0600,71286.0000,226.5500,229.8400,219.5400
2017/05/24,225.2500,104379.0000,215.8500,227.2300,215.6500
2017/05/23,215.1100,42907.0000,215.8100,217.7000,213.0000
2017/05/22,214.4200,66124.0000,205.4700,216.0500,205.4600
2017/05/19,204.4200,45768.0000,201.8900,205.5000,200.9150
2017/05/18,201.5600,70525.0000,200.1700,203.5100,199.6400
2017/05/17,199.8200,68348.0000,198.2200,201.6350,197.5300
2017/05/16,200.1100,64407.0000,199.9900,202.0000,199.1400
2017/05/15,199.3000,53598.0000,199.8500,202.4450,199.1000
2017/05/12,199.9300,39850.0000,204.5400,204.5400,198.1055
2017/05/11,203.6700,51152.0000,205.0900,206.5000,202.7400
2017/05/10,204.5700,91297.0000,202.0100,209.0000,195.9500
2017/05/09,203.1500,45968.0000,204.7300,205.6800,202.0500
2017/05/08,205.0000,37826.0000,205.7400,206.3400,203.3567
2017/05/05,205.7400,31386.0000,205.3800,206.3800,203.3300
2017/05/04,205.1500,41191.0000,204.7000,205.8750,203.2500
2017/05/03,204.1900,51680.0000,206.7000,210.7650,203.5000
2017/05/02,207.0000,60380.0000,210.6100,213.6500,206.9000
2017/05/01,209.6500,38727.0000,213.3600,214.5441,208.1772
2017/04/28,211.8600,30760.0000,210.1100,213.3900,207.4940
2017/04/27,209.9200,37444.0000,208.6200,211.2100,208.4600
2017/04/26,208.3500,33990.0000,206.1100,210.1809,205.7300
2017/04/25,207.2900,77904.0000,210.6800,214.7100,205.7500
2017/04/24,209.1000,31422.0000,206.0200,210.8900,206.0200
2017/04/21,204.9000,34205.0000,209.3000,209.5550,203.4200
2017/04/20,209.8200,37287.0000,208.8200,210.2500,207.5000
2017/04/19,208.2300,18676.0000,208.5100,209.3399,207.1686
2017/04/18,207.3900,27804.0000,207.4000,209.9200,205.0100
2017/04/17,207.4500,19604.0000,203.2900,207.5600,203.0000
2017/04/13,202.1800,23848.0000,201.7700,204.7800,201.6300
2017/04/12,202.5100,19888.0000,203.7700,204.0100,200.9100
2017/04/11,203.9100,23049.0000,204.5900,204.5900,202.7300
2017/04/10,204.3400,35401.0000,199.4600,205.6999,199.4600
2017/04/07,199.2100,51787.0000,198.4600,200.3600,198.4200
2017/04/06,198.6700,25656.0000,199.8000,199.8000,198.1000
2017/04/05,199.6700,32741.0000,202.4500,202.4500,199.6500
2017/04/04,202.0200,40316.0000,199.3200,202.6500,199.3200
2017/04/03,199.3100,48044.0000,206.1000,206.1000,199.0800
2017/03/31,206.0200,54281.0000,203.5600,207.4000,203.3400
2017/03/30,203.7500,38339.0000,202.9400,204.2450,201.0000
2017/03/29,202.2600,39781.0000,201.6000,202.9000,200.3150
2017/03/28,202.0000,48828.0000,199.2100,202.4300,198.0500
2017/03/27,199.3800,45037.0000,196.2000,200.7532,196.0000
2017/03/24,197.2800,32857.0000,198.7900,198.9000,197.1400
2017/03/23,198.5200,71824.0000,195.0500,200.5800,195.0500
2017/03/22,195.8300,64470.0000,193.6900,196.7000,193.6900
2017/03/21,195.0000,84132.0000,195.6200,198.0000,194.5000
2017/03/20,195.2300,45100.0000,194.2700,195.6999,192.6371
2017/03/17,194.0300,120598.0000,192.0800,195.7400,192.0800
2017/03/16,192.3800,104846.0000,188.7600,193.7800,188.7600
2017/03/15,189.0400,929449.0000,185.6200,191.6000,183.1900
2017/03/14,186.5000,256007.0000,179.4900,188.3900,178.5000
2017/03/13,171.2200,23464.0000,170.9300,173.3185,170.9300
2017/03/10,171.7400,21910.0000,174.2300,176.8453,171.3200
2017/03/09,173.0000,40767.0000,172.1000,179.5700,172.0000
2017/03/08,174.3500,28330.0000,174.5600,175.9900,172.1900
2017/03/07,174.5500,15968.0000,172.9800,175.9600,172.9800
2017/03/06,173.4100,19005.0000,173.8000,175.1500,173.1600
2017/03/03,174.2900,19041.0000,173.9900,174.8200,172.2700
2017/03/02,174.0200,15530.0000,174.4300,174.7500,173.0700
2017/03/01,174.5100,32767.0000,172.6000,175.7900,172.6000
2017/02/28,172.0700,29219.0000,176.6900,176.6900,171.5000
2017/02/27,176.4000,30733.0000,177.7400,178.2840,175.0200
2017/02/24,177.3200,16675.0000,179.8000,180.0650,176.4400
2017/02/23,180.8400,18656.0000,180.9200,181.2300,177.3300
2017/02/22,180.5700,19307.0000,180.7300,181.1541,178.8300
2017/02/21,181.0900,33024.0000,177.8500,181.2700,177.8500
2017/02/17,177.0600,19762.0000,175.5300,177.6000,175.5300
2017/02/16,175.0900,11015.0000,174.1000,175.1200,174.1000
2017/02/15,174.4400,18255.0000,174.4000,175.0500,174.0700
2017/02/14,174.2800,13914.0000,176.4000,176.4100,174.2000
2017/02/13,176.5000,22154.0000,176.5000,176.9150,174.3200
2017/02/10,177.0000,10021.0000,177.3000,177.4300,174.8300
2017/02/09,176.4000,31024.0000,173.8900,178.4800,172.8600
2017/02/08,172.9900,18512.0000,183.9800,183.9800,171.7600
2017/02/07,172.3400,26183.0000,171.4100,173.4800,170.7750
2017/02/06,171.2900,15326.0000,170.9500,171.9900,170.6250
2017/02/03,171.1600,18021.0000,169.5000,171.5653,169.5000
2017/02/02,169.3200,14635.0000,168.8000,169.8000,168.6800
2017/02/01,168.2200,27405.0000,169.7900,169.8200,167.5400
2017/01/31,168.8400,26056.0000,164.0900,169.3300,162.3050
2017/01/30,164.5000,16760.0000,165.1000,165.3744,162.9800
2017/01/27,165.9100,14373.0000,166.2600,166.9600,165.2800
2017/01/26,166.4900,20938.0000,168.5300,168.9843,165.8900
2017/01/25,169.3500,32145.0000,169.6000,170.2650,168.8000
2017/01/24,169.6000,23729.0000,167.3000,170.0000,167.3000
2017/01/23,167.6900,16666.0000,166.2700,169.1300,166.2100
2017/01/20,166.6400,14853.0000,166.7000,168.0550,166.0100
2017/01/19,166.4100,13986.0000,167.1700,167.9900,166.2800
2017/01/18,168.0000,18256.0000,167.0400,168.2500,165.6000
2017/01/17,166.7100,23225.0000,169.1600,169.9900,166.0500
