Name, 3, USD
Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,135.600006,135.970001,134.240005,135.949997,126.069901,5229400
2016-01-05,136.759995,136.889999,134.850006,135.850006,125.977165,3924800
2016-01-06,134.380005,135.580002,133.619995,135.169998,125.346573,4310900
2016-01-07,133.699997,135.020004,132.429993,132.860001,123.204468,7025800
2016-01-08,133.179993,133.820007,131.320007,131.630005,122.063850,4762700
2016-01-11,131.809998,133.820007,131.759995,133.229996,123.547546,4967000
2016-01-12,133.649994,133.779999,131.130005,132.899994,123.241547,5078700
2016-01-13,133.500000,134.279999,131.100006,131.169998,121.637268,4700100
2016-01-14,131.929993,133.789993,131.220001,132.910004,123.250839,5709600
2016-01-15,130.009995,130.880005,128.869995,130.029999,120.580116,9008500
2016-01-19,130.110001,132.100006,128.059998,128.110001,118.799660,9979600
2016-01-20,118.459999,123.989998,118.000000,121.860001,113.003876,16157800
2016-01-21,121.300003,125.099998,120.580002,122.910004,113.977577,8851600
2016-01-22,124.669998,124.739998,121.769997,122.500000,113.597359,9238400
2016-01-25,122.099998,124.230003,121.639999,122.080002,113.207901,5446000
2016-01-26,122.250000,123.610001,122.239998,122.589996,113.680824,4613700
2016-01-27,122.730003,123.370003,120.650002,120.959999,112.169266,5026400
2016-01-28,121.260002,122.830002,121.010002,122.220001,113.337715,3942500
2016-01-29,123.279999,124.790001,122.959999,124.790001,115.720940,8248100
2016-02-01,124.400002,125.290001,123.709999,124.830002,115.758041,3574900
2016-02-02,123.669998,124.139999,122.639999,122.940002,114.005394,3287300
2016-02-03,123.989998,125.449997,122.290001,124.720001,115.656021,6223500
2016-02-04,125.080002,128.500000,125.000000,127.650002,118.373093,5195800
2016-02-05,127.220001,128.639999,125.849998,128.570007,119.226257,7177700
2016-02-08,126.000000,127.510002,124.129997,126.980003,118.954567,7364000
2016-02-09,126.120003,126.930000,123.769997,124.070000,116.228477,5922600
2016-02-10,125.000000,125.290001,119.839996,120.190002,112.593712,6469100
2016-02-11,118.779999,119.660004,116.900002,117.849998,110.401596,7307600
2016-02-12,119.260002,121.050003,118.349998,121.040001,113.389992,4936500
2016-02-16,121.830002,123.089996,121.339996,122.739998,114.982529,4061400
2016-02-17,123.709999,126.570000,123.250000,126.099998,118.130173,4821000
2016-02-18,130.000000,134.000000,129.750000,132.449997,124.078827,9951600
2016-02-19,132.360001,133.649994,130.839996,133.080002,124.669029,5125300
2016-02-22,133.080002,134.309998,132.410004,133.770004,125.315430,4457400
2016-02-23,133.139999,133.410004,132.009995,132.399994,124.031982,3439700
2016-02-24,131.550003,133.490005,129.679993,132.800003,124.406738,4122600
2016-02-25,133.289993,134.509995,130.880005,134.500000,125.999275,4353600
2016-02-26,134.509995,134.919998,131.949997,132.029999,123.685387,4386200
2016-02-29,132.000000,133.360001,130.899994,131.029999,122.748566,4428000
2016-03-01,132.240005,134.639999,132.029999,134.369995,125.877480,3788500
2016-03-02,133.699997,137.440002,133.220001,136.300003,127.685501,5217200
2016-03-03,137.220001,137.960007,136.070007,137.800003,129.090729,5141200
2016-03-04,137.539993,139.419998,137.020004,137.800003,129.090729,3968400
2016-03-07,137.279999,140.509995,136.869995,140.149994,131.292175,5171000
2016-03-08,139.710007,140.350006,137.419998,139.070007,130.280457,5579100
2016-03-09,139.309998,142.169998,139.229996,140.410004,131.535751,4406500
2016-03-10,141.240005,141.470001,138.089996,140.190002,131.329651,4009600
2016-03-11,141.729996,142.919998,140.509995,142.360001,133.362503,4421900
2016-03-14,142.009995,143.190002,141.039993,142.779999,133.755951,4048800
2016-03-15,141.740005,143.330002,141.539993,142.960007,133.924576,3707500
2016-03-16,142.619995,144.880005,142.110001,144.789993,135.638916,4221900
2016-03-17,144.779999,147.320007,144.449997,147.039993,137.746719,5821600
2016-03-18,147.399994,147.509995,145.509995,147.089996,137.793533,12089700
2016-03-21,147.300003,148.710007,146.720001,148.630005,139.236221,3721600
2016-03-22,148.059998,149.279999,147.839996,148.100006,138.739746,4081900
2016-03-23,148.000000,148.029999,145.130005,145.399994,136.210388,4764200
2016-03-24,144.979996,148.220001,144.490005,147.949997,138.599197,5044500
2016-03-28,147.750000,148.649994,147.229996,148.399994,139.020752,3265100
2016-03-29,147.589996,149.759995,147.500000,149.330002,139.891968,3116400
2016-03-30,149.949997,150.410004,148.320007,148.410004,139.030136,3331200
2016-03-31,149.789993,153.100006,149.360001,151.449997,141.877975,6780600
2016-04-01,150.509995,152.960007,150.250000,152.520004,142.880356,3925500
